RecipeID,recipe_name,Description,ingredients_list,Procedure,Region,nutritional_value,recipe_type,image_url
15,Jeera Rice,"Fragrant, spiced cumin-flavored rice dish.","1 cup basmati rice, 1 tablespoon ghee or oil, 1 teaspoon cumin seeds, 2-3 cloves, 1 bay leaf, 1 cinnamon stick, and salt","Cook basmati rice and set aside. In a pan, heat ghee, temper cumin seeds, cloves, bay leaf, and cinnamon. Add cooked rice, mix well, and season with salt. Serve hot.",South Indian,Calories: 160 Carbohydrates: 25g Fats: 4g Proteins: 4g Cholesterol: 0mg,Veg,https://www.vegrecipesofindia.com/wp-content/uploads/2018/12/jeera-rice-recipe-1.jpg
16,Chicken 65,"Spicy, deep-fried chicken snack.","500g chicken, 2 tablespoons cornflour, 1 tablespoon rice flour, 1 teaspoon ginger-garlic paste, 1 tablespoon red chili powder, curry leaves, 1 egg, and oil","Marinate chicken with spices, ginger-garlic paste, egg, and flours. Deep-fry until golden and garnish with fried curry leaves. Serve hot.",South Indian,Calories: 70 Carbohydrates: 12g Fats: 0.5g Proteins: 2g Cholesterol: 0mg,Non-Veg,https://www.teaforturmeric.com/wp-content/uploads/2024/05/Chicken-65-11.jpg
17,Chicken Kabab,"A smoky, grilled chicken ","500g chicken, 1 tablespoon ginger-garlic paste, 1 tablespoon yogurt, 1 tablespoon garam masala, 1 teaspoon chili powder, lemon juice, and skewers.",Marinate chicken with spices and yogurt. Skewer the pieces and grill or roast until charred and cooked. Serve with chutney.,South Indian,Calories: 100 Carbohydrates: 14g Fats: 2g Proteins: 3g Cholesterol: 0mg,Non-Veg,https://www.tamingtwins.com/wp-content/uploads/2018/07/chicken-kebabs-5.jpg
18,French Fries,Crispy potato sticks.,"Potatoes, oil for frying, and salt.","Peel and cut potatoes into sticks, soak in cold water, and pat dry. Fry twice: first at low heat, then at high heat until golden. Sprinkle with salt and serve.",South Indian,Calories: 400 Carbohydrates: 50g Fats: 15g Proteins: 8g Cholesterol: 10mg,Veg,https://www.vegrecipesofindia.com/wp-content/uploads/2021/04/french-fries-recipe-4.jpg
19,Mysore Pak,Famous sweet in Karnataka,"Gram flour (besan), sugar, ghee, and water.",Cook sugar syrup to one-string consistency. Add gram flour and stir in hot ghee until the mixture thickens. Pour into a greased tray and cut when set.,South Indian,Calories: 360 Carbohydrates: 6g Fats: 20g Proteins: 30g Cholesterol: 60mg,Veg,https://www.vegrecipesofindia.com/wp-content/uploads/2018/12/mysore-pak-recipe-1a.jpg
20,Kesaribath,"A sweet, saffron semolina dessert."," Semolina(Rava), sugar, ghee, saffron, water, and cardamom.","Roast semolina in ghee, add boiling water and saffron. Stir in sugar and cardamom, cook until thick, and serve warm.",South Indian,Calories: 240 Carbohydrates: 38g Fats: 6g Proteins: 5g Cholesterol: 0mg,Veg,https://www.vegrecipesofindia.com/wp-content/uploads/2016/10/kesari-bath-recipe-1a.jpg
21,Puliyogre,"Tangy, spicy tamarind rice.","Cooked rice, tamarind paste, sesame seeds, dried red chilies, curry leaves, mustard seeds, peanuts, turmeric, jaggery, oil, salt, and spices like coriander, fenugreek, and asafoetida.","Prepare the tamarind sauce by boiling tamarind paste with jaggery, turmeric, and ground roasted spices. Temper mustard seeds, curry leaves, and dried chilies in hot oil, then add peanuts and the tamarind mixture. Mix this tangy sauce with cooked rice, ensuring its evenly coated. Serve warm.",South Indian,Calories: 320 Carbohydrates: 50g Fats: 8g Proteins: 12g Cholesterol: 0mg,Veg,https://hebbarskitchen.com/wp-content/uploads/2019/02/puliyogare-recipe-puliyogare-gojju-tamarind-rice-karnataka-style-2.jpeg
22,Lemon Rice,"Zesty, refreshing lemon rice.","Cooked rice, lemon juice, green chilies, curry leaves, mustard seeds, turmeric, ginger, peanuts or cashews, oil, and salt.","Heat oil and temper mustard seeds, curry leaves, green chilies, and ginger. Add turmeric and roasted peanuts or cashews. Mix in cooked rice, pour fresh lemon juice, and stir well for an even coating. Serve warm or at room temperature.",South Indian,Calories: 180 Carbohydrates: 28g Fats: 6g Proteins: 3g Cholesterol: 0mg,Veg,https://www.vegrecipesofindia.com/wp-content/uploads/2020/12/lemon-rice-3.jpg
23,Curd Rice,"Creamy, soothing curd rice.","Cooked rice, curd (yogurt), milk, green chilies, ginger, curry leaves, mustard seeds, asafoetida, coriander leaves, pomegranate seeds (optional), and salt.","Mash cooked rice and mix with curd, milk, and salt for a creamy consistency. Temper mustard seeds, curry leaves, and green chilies in oil, then pour over the rice. Garnish with chopped coriander and pomegranate seeds if desired. Serve chilled or at room temperature.",South Indian,Calories: 280 Carbohydrates: 22g Fats: 16g Proteins: 8g Cholesterol: 0mg,Veg,https://rakskitchen.net/wp-content/uploads/2012/06/curd-rice-feat.jpg
24,Ghee Rice,"Aromatic, buttery ghee rice.","Basmati rice, ghee, sliced onions, green chilies, ginger-garlic paste, whole spices (cinnamon, cloves, bay leaf, cardamom), cashews, raisins, water, and salt.","Heat ghee, fry whole spices, onions, cashews, and raisins until golden. Add rinsed rice, sauté briefly, then cook with water and salt until fluffy. Serve hot with a side of curry or raita.",South Indian,Calories: 150 Carbohydrates: 20g Fats: 4g Proteins: 6g Cholesterol: 0mg,Veg,https://www.vegrecipesofindia.com/wp-content/uploads/2021/02/ghee-rice-recipe-2.jpg
25,Masala Dosa,"Crispy, spicy stuffed dosa.","Rice, urad dal, fenugreek seeds (for batter), boiled potatoes, onions, green chilies, curry leaves, mustard seeds, turmeric, ginger, oil, salt, and water.","Ferment dosa batter overnight. Prepare the potato masala by tempering spices and mixing them with mashed potatoes. Spread batter thinly on a hot griddle, cook until crispy, add filling, and fold. Serve with chutney and sambar.",South Indian,Calories: 200 Carbohydrates: 28g Fats: 4g Proteins: 8g Cholesterol: 0mg,Veg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Dosai_Chutney_Hotel_Saravana_Bhavan.jpg/1200px-Dosai_Chutney_Hotel_Saravana_Bhavan.jpg
26,Bisibelebath,"Spicy, tangy lentil rice.","Rice, toor dal (pigeon peas), tamarind, bisibelebath powder (spice mix), vegetables (carrots, beans, peas), ghee, mustard seeds, curry leaves, dried red chilies, asafoetida, jaggery, and cashews.","Cook rice and dal separately. Boil chopped vegetables with tamarind water and bisibelebath powder. Mix cooked rice, dal, and vegetable mixture, then simmer. Temper mustard seeds, curry leaves, and chilies in ghee, pour over the rice, and garnish with cashews. Serve hot with papad or raita.",South Indian,Calories: 300 Carbohydrates: 45g Fats: 8g Proteins: 6g Cholesterol: 0mg,Veg,https://www.vegrecipesofindia.com/wp-content/uploads/2019/01/bisi-bele-bath-1a.jpg
27,Filter Coffee,"Strong, aromatic South Indian coffee.","Ground coffee (preferably filter coffee blend), water, milk, sugar.","Boil water and pour it into a traditional South Indian filter. Add the ground coffee into the top compartment and let it drip slowly through the filter overnight. The coffee concentrate (decoction) will collect in the bottom container. To serve, mix the decoction with hot milk and sugar to taste, then stir well. Serve in a traditional steel tumbler and davara (small cup).",South Indian,Calories: 290 Carbohydrates: 40g Fats: 10g Proteins: 6g Cholesterol: 5mg,Veg,https://www.cookwithmanali.com/wp-content/uploads/2022/03/South-Indian-Filter-Coffee.jpg
28,Vegetable Fried Rice,"Fluffy, flavorful vegetable fried rice.","Cooked rice, mixed vegetables (carrot, peas, beans, bell peppers), onions, garlic, soy sauce, green chilies, sesame oil, spring onions, and salt.","Heat sesame oil in a pan, sauté onions, garlic, and green chilies until fragrant. Add mixed vegetables and stir-fry until tender. Add cooked rice and soy sauce, then stir-fry everything together on high heat until well combined. Garnish with spring onions and serve hot.",South Indian,Calories: 180 Carbohydrates: 14g Fats: 8g Proteins: 3g Cholesterol: 0mg,Veg,https://www.vegrecipesofindia.com/wp-content/uploads/2013/08/fried-rice-1.jpg
29,Omelette,"Fluffy, savory egg omelette.","Eggs, salt, pepper, onions, tomatoes, green chilies, herbs (like coriander or parsley), and oil or butter.","Whisk eggs with salt, pepper, and chopped vegetables. Heat oil or butter in a pan, pour in the egg mixture, and cook on medium heat. Once the edges set, fold the omelette in half and cook until fully set. Serve hot with bread or toast.",South Indian,Calories: 250 Carbohydrates: 35g Fats: 8g Proteins: 6g Cholesterol: 15mg,Veg,https://www.theloveofspice.com/wp-content/uploads/2021/05/indian-masala-omelette.jpg
30,Coconut Chutney,"Fresh, tangy coconut chutney","Grated fresh coconut, green chilies, ginger, roasted chana dal (gram dal), curry leaves, mustard seeds, tamarind (or lemon juice), salt, and oil.","Grind the grated coconut, green chilies, ginger, and roasted chana dal with a little water to a smooth paste. Add tamarind or lemon juice and salt, then mix well. For tempering, heat oil, and fry mustard seeds and curry leaves, then pour over the chutney. Serve with dosa, idli, or vada.",South Indian,Calories: 310 Carbohydrates: 40g Fats: 12g Proteins: 6g Cholesterol: 20mg,Veg,https://www.vegrecipesofindia.com/wp-content/uploads/2010/07/coconut-chutney-fb.jpg
31,Peanut Chutney,"Nutty, spicy peanut chutney.","Peanuts, dried red chilies, garlic, tamarind, salt, oil, mustard seeds, curry leaves.","Roast the peanuts until golden and set aside. In the same pan, roast dried red chilies and garlic. Grind the peanuts, chilies, garlic, tamarind, and salt into a smooth paste, adding water as needed. For tempering, heat oil, add mustard seeds, and curry leaves, then pour over the chutney. Serve with dosa, idli, or rice.",South Indian,Calories: 150 Carbohydrates: 22g Fats: 5g Proteins: 4g Cholesterol: 0mg,Veg,https://www.vegrecipesofindia.com/wp-content/uploads/2020/12/peanut-chutney-recipe-1.jpg
32,Rice Bath,"Flavored, spiced rice dish.","Cooked rice, mixed vegetables (carrot, beans, peas), green chilies, ginger, curry leaves, coriander, coconut, spices (cloves, cinnamon, bay leaf), turmeric, garam masala or rice bath powder, ghee or oil, and salt.","Sauté spices in ghee or oil, add vegetables, green chilies, and ginger, and cook until tender. Mix in turmeric, garam masala, and a paste of coconut and coriander. Add cooked rice, stir gently to coat, and cook briefly. Garnish with fresh coriander and serve hot with raita or pickle.",South Indian,Calories: 350 Carbohydrates: 55g Fats: 10g Proteins: 4g Cholesterol: 0mg,Veg,https://www.cookshideout.com/wp-content/uploads/2008/10/Vegetable-Bhath-FI.jpg
33,Donne Biryani,"Aromatic, spicy South Indian biryani.","Jeera samba rice (or basmati), chicken or mutton, onion, tomatoes, green chilies, ginger-garlic paste, curd, mint leaves, coriander leaves, biryani masala, whole spices (bay leaf, cloves, cinnamon, cardamom), turmeric, red chili powder, oil, and ghee.","Sauté whole spices in oil and ghee, then add onions, green chilies, and ginger-garlic paste. Cook until fragrant, then add meat, tomatoes, spices, curd, and herbs. Simmer until the meat is tender. Add washed rice, water, and salt, then cook until rice is fluffy and well-infused with flavors. Serve hot with raita and boiled eggs.",North Indian,Calories: 170 Carbohydrates: 28g Fats: 4g Proteins: 2g Cholesterol: 0mg,Non-Veg,https://palatesdesire.com/wp-content/uploads/2021/11/Donne-biryani-recipe@palates-desire.jpg
34,Rava Idli,"Soft, steamed semolina cakes.","Semolina (rava), curd, water, baking soda or Eno, mustard seeds, curry leaves, green chilies, ginger, coriander leaves, grated carrots, and salt.","Dry roast semolina until aromatic. Mix with curd, water, and salt to form a thick batter. Add grated carrots and chopped coriander. Temper mustard seeds, curry leaves, and chilies in oil, and mix into the batter. Just before steaming, add baking soda or Eno. Pour the batter into greased idli molds and steam for 10-12 minutes. Serve hot with coconut chutney and sambar.",South Indian,Calories: 290 Carbohydrates: 35g Fats: 12g Proteins: 5g Cholesterol: 10mg,Veg,https://www.vegrecipesofindia.com/wp-content/uploads/2013/11/rava-idli-5.jpg
35,Banana Rasayana,"Sweet, creamy banana dessert.","Ripe bananas, jaggery (or sugar), coconut milk, cardamom powder, and a pinch of salt.","Peel and slice bananas into a bowl. Dissolve jaggery in coconut milk and mix well, adding a pinch of cardamom powder and salt for flavor. Pour the sweetened coconut milk over the banana slices and stir gently. Serve fresh as a dessert or snack.",South Indian,Calories: 260 Carbohydrates: 22g Fats: 16g Proteins: 6g Cholesterol: 0mg,Veg,https://hebbarskitchen.com/wp-content/uploads/2016/01/banana-rasayana3.jpg
36,Vegetable Sandwich,"Healthy, fresh veggie-filled sandwich.","Bread slices, butter, mayonnaise or green chutney, sliced vegetables (cucumber, tomato, onion, capsicum), salt, pepper, and optional cheese slices.","Spread butter and mayonnaise or chutney on bread slices. Layer sliced vegetables evenly, sprinkle salt and pepper, and add cheese if desired. Cover with another bread slice, press gently, and toast or serve fresh. Pair with ketchup or any dip of your choice.",North Indian,Calories: 400 Carbohydrates: 18g Fats: 32g Proteins: 10g Cholesterol: 45mg,Veg,https://www.indianveggiedelight.com/wp-content/uploads/2017/03/vegetable-mayonnaise-sandwich-featured.jpg
37,Tomato Cheese Sandwich,"Tangy, cheesy tomato sandwich.","Bread slices, butter, cheese slices or grated cheese, fresh tomato slices, oregano or Italian seasoning, salt, and pepper.","Butter the bread slices, place a layer of tomato slices, and sprinkle with salt, pepper, and oregano. Add a cheese slice or grated cheese, then cover with another bread slice. Toast or grill until golden and the cheese melts. Serve hot with ketchup or any dip.",South Indian,Calories: 150 Carbohydrates: 18g Fats: 8g Proteins: 4g Cholesterol: 0mg,Veg,https://www.vegrecipesofindia.com/wp-content/uploads/2022/07/tomato-sandwich.jpg
38,Tomato Bath,"Tangy, spiced tomato rice.","Cooked rice, ripe tomatoes, green chilies, onion, ginger-garlic paste, curry leaves, mustard seeds, turmeric, red chili powder, garam masala, coriander leaves, oil, ghee, and salt.","Heat oil and ghee, temper mustard seeds and curry leaves, and sauté onions and green chilies. Add ginger-garlic paste, chopped tomatoes, turmeric, red chili powder, and garam masala. Cook until tomatoes are soft and the mixture thickens. Mix in cooked rice and stir gently. Garnish with coriander leaves and serve hot with raita or papad.",South Indian,Calories: 390 Carbohydrates: 15g Fats: 28g Proteins: 12g Cholesterol: 40mg,Veg,https://www.vegrecipesofindia.com/wp-content/uploads/2011/08/tomato-bath-recipe.jpg
39,Seviyan Kheer,"Creamy, sweet vermicelli pudding.","Vermicelli (seviyan), milk, sugar, ghee, cardamom powder, chopped nuts (almonds, cashews, pistachios), raisins, and saffron (optional).","Roast vermicelli in ghee until golden. Boil milk, add roasted vermicelli, and cook until soft. Stir in sugar, cardamom powder, and saffron. Add chopped nuts and raisins, simmer until creamy. Serve warm or chilled as a dessert.",South Indian,Calories: 150 Carbohydrates: 20g Fats: 6g Proteins: 6g Cholesterol: 15mg,Veg,https://www.vegrecipesofindia.com/wp-content/uploads/2012/07/seviyan-kheer-recipe-1.jpg
40,Shavige Bath,"Flavorful, spiced vermicelli dish.","Roasted vermicelli, mixed vegetables (carrot, beans, peas), green chilies, ginger, curry leaves, mustard seeds, turmeric, lemon juice, coriander leaves, oil, and salt.","Cook vermicelli in boiling water until soft, then drain and set aside. Heat oil, temper mustard seeds, curry leaves, and green chilies. Add vegetables and turmeric, sauté until tender. Mix in the cooked vermicelli, salt, and lemon juice. Stir gently, garnish with coriander leaves, and serve hot with chutney or pickle.",South Indian,Calories: 250 Carbohydrates: 8g Fats: 18g Proteins: 12g Cholesterol: 30mg,Veg,https://hebbarskitchen.com/wp-content/uploads/2020/02/shavige-uppittu-recipe-shavige-bath-recipe-shavige-upma-recipe-2-scaled.jpeg
41,Neer Dosa,"Soft, lacy rice crepes.","Raw rice, grated coconut, water, and salt.","Soak rice for a few hours, then grind with coconut and water into a smooth, thin batter. Add salt and adjust consistency to resemble thin buttermilk. Pour a ladleful onto a hot, greased pan, swirling to form a lacy crepe. Cook until edges lift, then serve hot with coconut chutney, sambar, or jaggery mixed with coconut.",South Indian,Calories: 220 Carbohydrates: 8g Fats: 14g Proteins: 12g Cholesterol: 180mg,Veg,https://www.vegrecipesofindia.com/wp-content/uploads/2019/01/neer-dosa-1a.jpg
42,Ragi Roti,"Nutritious, soft finger millet flatbread.","Ragi flour, whole wheat flour, water, salt, oil, and optional spices (cumin or carom seeds).","Mix ragi flour, wheat flour, salt, and spices, then add water gradually to form a soft dough. Divide into small balls and roll out into thin circles using a little dry flour. Cook each roti on a hot tawa, drizzling oil on both sides until golden brown and cooked through. Serve with curry or chutney.",South Indian,Calories: 350 Carbohydrates: 52g Fats: 10g Proteins: 6g Cholesterol: 0mg,Veg,https://www.madhuseverydayindian.com/wp-content/uploads/2021/02/ragi-roti-finger-millet-roti.jpg
43,Egg Bhurji,"Spicy, scrambled egg dish.","Eggs, onions, tomatoes, green chilies, ginger-garlic paste, turmeric, red chili powder, coriander powder, cumin seeds, curry leaves, oil, salt, and coriander leaves.","Heat oil in a pan, temper cumin seeds and curry leaves. Add chopped onions, green chilies, and ginger-garlic paste, and sauté until onions soften. Add tomatoes, turmeric, red chili powder, and coriander powder, cooking until the tomatoes are soft. Beat eggs and pour them into the pan, stirring continuously until scrambled and cooked. Garnish with fresh coriander leaves and serve hot with bread or roti.",South Indian,Calories: 320 Carbohydrates: 10g Fats: 20g Proteins: 25g Cholesterol: 60mg,Veg,https://pipingpotcurry.com/wp-content/uploads/2023/04/Egg-Bhurji-Recipe-Piping-Pot-Curry-5.jpg
44,Egg Rice,"Simple, flavorful egg fried rice.","Cooked rice, eggs, onions, green chilies, garlic, soy sauce, peas, carrots, spring onions, oil, salt, and pepper.","Heat oil in a pan, scramble the eggs and set aside. In the same pan, sauté chopped onions, garlic, and green chilies. Add peas and carrots, and cook until tender. Stir in the cooked rice, soy sauce, salt, and pepper. Add scrambled eggs and mix well. Garnish with spring onions and serve hot.",South Indian,Calories: 290 Carbohydrates: 8g Fats: 22g Proteins: 12g Cholesterol: 40mg,Veg,https://thewoksoflife.com/wp-content/uploads/2015/12/egg-fried-rice-10.jpg
